Instrument,Date,SourceDate,LookbackDays,REF_PE,PE_trial,REF_PCF,PCF_MktCap_div_OpCF,PCF_Price_div_CFPS_Act,PCF_Price_div_OpCFPS
ASMI.AS,2025-06-30,2025-06-30,0,55.4704885567873,55.50561797752809,24.3291769719424,24.329243217888283,24.356790676826535,24.304452772141158
ASMI.AS,2025-07-31,2025-07-31,0,40.0937114303185,40.02808988764045,18.4226886368421,18.42273691981095,18.434670116429494,18.416443146331638
ASMI.AS,2025-08-31,2025-08-29,2,38.5180989109516,38.45505617977528,17.6987092939206,17.698755679453377,17.710219922380336,17.692709240230183
ASMI.AS,2025-09-30,2025-09-30,0,47.9061235055128,47.827715355805246,22.0124195454946,22.01247723658338,22.026735661923244,22.00495709741801
ASMI.AS,2025-10-31,2025-10-31,0,35.3606789250354,35.32369578881207,23.8551924634418,23.853139913028663,23.813559322033896,23.817603080736937
ASMI.AS,2025-11-30,2025-11-28,2,29.8489432064711,29.81772470144563,20.1368386203858,20.135106004876867,20.101694915254235,20.105108365661213
ASMI.AS,2025-12-31,2025-12-31,0,32.5670594512426,32.532998114393465,21.9705473649066,21.968656973280492,21.93220338983051,21.935927677205406
IMCD.AS,2024-01-31,2024-01-31,0,27.9911059246527,25.865209471766846,19.4439392001153,19.443939200115334,,19.418388798641498
IMCD.AS,2024-02-29,2024-02-29,0,27.7742734139688,25.664845173041893,19.2933171358891,19.293317135889087,,19.26796466006047
IMCD.AS,2024-03-31,2024-03-28,3,31.8114719938305,31.842105263157894,22.1637840333993,22.1637840333992,,22.136824810068568
IMCD.AS,2024-04-30,2024-04-30,0,27.7023684794759,27.72904483430799,19.3008771273404,19.30087712734043,,19.277400240172966
IMCD.AS,2024-05-31,2024-05-31,0,27.1473473886745,27.173489278752438,18.9141811708348,18.91418117083482,,18.891174646608867
IMCD.AS,2024-06-30,2024-06-28,2,25.1804305405711,25.2046783625731,17.5437849740957,17.54378497409573,,17.522445350118556
IMCD.AS,2024-07-31,2024-07-31,0,25.900984237401,25.925925925925927,18.0458113035942,18.045811303594196,,18.023861032991245
IMCD.AS,2024-08-31,2024-08-30,1,29.9628808965348,28.810916179337234,21.3346304091997,21.334630409199686,,21.312862503820057
IMCD.AS,2024-09-30,2024-09-30,0,31.6049602961419,30.389863547758285,22.5038489904887,22.503848990488738,,22.48088812141777
IMCD.AS,2024-10-31,2024-10-31,0,29.608110655879,28.469785575048736,21.0820214564521,21.082021456452058,,21.060511290141537
IMCD.AS,2024-11-30,2024-11-29,1,28.8073435412557,27.69980506822612,21.274957023012,21.23072774342631,,20.490918550695735
IMCD.AS,2024-12-31,2024-12-31,0,29.0911597337804,27.97270955165692,21.4845625109234,21.48456251092339,,20.692799521638552
IMCD.AS,2025-01-31,2025-01-31,0,30.6926939630269,29.512670565302145,22.6673363355666,22.66733633556656,,21.83198500053015
IMCD.AS,2025-02-28,2025-02-28,0,28.9593879301082,27.846003898635477,21.3872456772502,21.387245677250217,,20.599069070843672
IMCD.AS,2025-03-31,2025-03-31,0,25.2176863055524,25.236625514403293,25.9646720294761,25.988567106699403,,25.126184529380982
IMCD.AS,2025-04-30,2025-04-30,0,24.0251662845805,24.04320987654321,24.7368277753304,24.86356054129949,,23.93799153899851
IMCD.AS,2025-05-31,2025-05-30,1,24.5700245700246,24.58847736625514,25.2978255811039,25.35133064186007,,24.480872819087054
IMCD.AS,2025-06-30,2025-06-30,0,23.4494669641113,23.46707818930041,24.1440753767774,24.144075376777334,,23.364381129848354
IMCD.AS,2025-07-31,2025-07-31,0,21.0358955543325,19.81893004115226,23.7367468289897,23.73674682898962,,23.36517240274759
IMCD.AS,2025-08-31,2025-08-29,2,20.9616409396266,19.74897119341564,23.6529584784721,23.652958478472055,,23.282695672920617
IMCD.AS,2025-09-30,2025-09-30,0,19.2188414532939,18.10699588477366,21.6863966045587,21.671648797093777,,21.3469183081581
IMCD.AS,2025-10-31,2025-10-31,0,19.651265385993,18.51440329218107,22.1743405281613,22.174340528161235,,21.827223970091655
IMCD.AS,2025-11-30,2025-11-28,2,16.8776371308017,15.901234567901234,19.0445992000034,19.044599200003336,,18.74647553243702
IMCD.AS,2025-12-31,2025-12-31,0,16.890740886338,15.91358024691358,19.0593853795065,19.05938537950644,,18.76103024946531
MNG.L,2024-01-31,2024-01-31,0,,-3.5330498502517393,24.4679274741153,248.70131841610734,,118.01855106653002
MNG.L,2024-02-29,2024-02-29,0,,-3.5294357933532448,24.5362914967742,248.47581865802326,,117.8978265433247
MNG.L,2024-03-31,2024-03-28,3,17.4972226630694,17.88062761830367,3.03947307853403,3.4630158730206033,,3.4381133811782094
MNG.L,2024-04-30,2024-04-30,0,15.9577844786542,16.321664539083645,2.7844977280925,3.1752743930524883,,3.1383536670425354
MNG.L,2024-05-31,2024-05-31,0,15.7990795111887,16.213797668526528,2.75688622819081,3.15438246095317,,3.11761286649767
