Instrument,Date,Price Close,Company Market Cap,Outstanding Shares,Price To Cash Flow Per Share (Daily Time Series Ratio),Cash Flow,Net Cash Flow from Operating Activities,Cash Flow Per Share - Actual,Price to Cash Flow per Share,Cash Flow from Operations per Share,CALC_PCF_MktCap_div_CF,CALC_PCF_MktCap_div_OpCF,CALC_PCF_Price_div_CF_Shares,CALC_PCF_Price_div_OpCF_Shares,CALC_PCF_Price_div_CFPS_Act,CALC_PCF_Price_div_OpCFPS
RACE.MI,2024-02-07,355.5,68939803894.5,180272556,42.5467150525324,1919762000.0,1716637000.0,9.46,28.8562630159363,9.45748191569657,35.91059927975447,40.15980308853881,33.382728514263746,37.33281623196984,37.579281183932345,37.589286785732796
RACE.MI,2024-02-08,355.0,68842842144.9999,180272556,42.4868743843854,1919762000.0,1716637000.0,9.46,28.8562630159363,9.45748191569657,35.860092107771635,40.10331953989102,33.3357767160721,37.28030875485033,37.52642706131078,37.53641859053486
RACE.MI,2024-02-09,362.4,70277876037.6,180251336,43.3725162729613,1919762000.0,1716637000.0,9.46,28.8562630159363,9.45748191569657,36.6075982531168,40.93927605987754,34.02665755775976,38.05293965258817,38.30866807610993,38.318867879464314
RACE.MI,2024-02-12,360.4,69890029039.6,180251336,43.1331536003732,1919762000.0,1716637000.0,9.46,28.8562630159363,9.45748191569657,36.40556956518569,40.71334186528661,33.83887247190016,37.84293446686748,38.097251585623674,38.10739509867257
RACE.MI,2024-02-13,354.0,68648918645.9999,180251336,42.3671930480914,1919762000.0,1716637000.0,9.46,28.8562630159363,9.45748191569657,35.75907776380609,39.99035244259555,33.23796019714944,37.17091787256129,37.42071881606765,37.43068220013899
RACE.MI,2024-02-14,355.5,68939803894.5,180251336,42.5467150525324,1919762000.0,1716637000.0,9.46,28.8562630159363,9.45748191569657,35.91059927975447,40.15980308853881,33.37879901154414,37.32842176185181,37.579281183932345,37.589286785732796
RACE.MI,2024-02-15,359.6,69734890240.3999,180251336,43.037408531338,1919762000.0,1716637000.0,9.46,28.8562630159363,9.45748191569657,36.32475809001319,40.62296818745017,33.763758437556326,37.75893239257921,38.012684989429175,38.02280598635588
RACE.MI,2024-02-16,363.0,70394230137.0,180230448,43.4443250747377,1919762000.0,1716637000.0,9.46,28.8562630159363,9.45748191569657,36.668206859496124,41.00705631825482,34.07904345642846,38.1115242325547,38.37209302325581,38.382309713701844
RACE.MI,2024-02-19,361.6,70122737238.3999,180230448,43.2767712039261,1919762000.0,1716637000.0,9.46,28.8562630159363,9.45748191569657,36.526786777944295,40.84890238204111,33.947609129048296,37.9645376377184,38.22410147991543,38.23427876714762
RACE.MI,2024-02-20,362.5,70297268387.4999,180230448,43.3844844065907,1919762000.0,1716637000.0,9.46,28.8562630159363,9.45748191569657,36.617699687513294,40.95057276960702,34.032102625221256,38.059029020113165,38.31923890063425,38.329441518503906
