Date,Price,Shares,MktCap,REF_PE,Implied_EPS_REF,EPSAct_LTM,Implied_EPS_LTM_formula,TTM_EPSAct,TTM_EPSfr,TTM_EPS_from_NI,Implied_EPS_self,Implied_EPS_self_source,Implied_EPS_trial,Implied_EPS_trial_source,PE_LTM_formula,EP_LTM_formula,PE_self,EP_self,PE_trial,EP_trial,REF_EP,Formula_diff_vs_REF,Self_diff_vs_REF,Trial_diff_vs_REF,neg_eps_flag,neg_eps_trial_flag,ref_pe_is_nan,self_available,ref_pe_missing_but_self_available
2024-09-30,17.43,768215734,13407348740.94,14.0343814163211,1.2419500000000008,1.841,1.841,0.984,0.5700000000000001,0.5727557774806002,0.984,TTM_EPSAct,1.24,EPSFR_LTM,9.467680608365018,0.10562248995983936,17.713414634146343,0.05645438898450947,14.056451612903226,0.07114170969592656,0.0712535857716581,0.5990499999999992,-0.2579500000000008,-0.0019500000000007844,0,0,0,1,0
2024-10-01,16.47,768215734,12668906125.26,13.2614034381416,1.2419500000000028,1.841,1.841,0.984,0.5700000000000001,0.5727557774806002,0.984,TTM_EPSAct,1.24,EPSFR_LTM,8.946224877783813,0.11177899210686097,16.73780487804878,0.05974499089253188,13.282258064516128,0.07528840315725562,0.075406800242866,0.5990499999999972,-0.2579500000000028,-0.0019500000000027828,0,0,0,1,0
2024-10-02,16.765,768215734,12895823387.3699,13.498933129353,1.241950000000003,1.841,1.841,0.984,0.5700000000000001,0.5727557774806002,0.984,TTM_EPSAct,1.24,EPSFR_LTM,9.106463878326997,0.10981210855949895,17.03760162601626,0.05869370712794512,13.520161290322582,0.07396361467342678,0.07407992842230857,0.599049999999997,-0.257950000000003,-0.0019500000000030049,0,0,0,1,0
2024-10-03,16.845,768215734,12957360272.0099,13.563347960868,1.241949999999999,1.841,1.841,0.984,0.5700000000000001,0.5727557774806002,0.984,TTM_EPSAct,1.24,EPSFR_LTM,9.149918522542096,0.10929059067972693,17.11890243902439,0.05841495992876225,13.584677419354838,0.07361234787770853,0.07372810923122583,0.599050000000001,-0.257949999999999,-0.001949999999999008,0,0,0,1,0
2024-10-04,17.195,768215734,13226584142.3099,13.8451628487459,1.241950000000002,1.841,1.841,0.984,0.5700000000000001,0.5727557774806002,0.984,TTM_EPSAct,1.24,EPSFR_LTM,9.340032590983162,0.10706600756033731,17.47459349593496,0.057225937772608315,13.866935483870968,0.0721139866240186,0.07222739168362909,0.5990499999999979,-0.2579500000000021,-0.0019500000000021167,0,0,0,1,0
2024-10-07,17.275,768215734,13288121026.9499,13.9095776802609,1.241949999999998,1.841,1.841,0.984,0.5700000000000001,0.5727557774806002,0.984,TTM_EPSAct,1.24,EPSFR_LTM,9.383487235198261,0.10657018813314038,17.55589430894309,0.05696092619392185,13.931451612903224,0.07178002894356006,0.0718929088277857,0.5990500000000019,-0.2579499999999981,-0.00194999999999812,0,0,0,1,0
2024-10-08,16.47,768215734,12668906125.26,13.2614034381416,1.2419500000000028,1.841,1.841,0.984,0.5700000000000001,0.5727557774806002,0.984,TTM_EPSAct,1.24,EPSFR_LTM,8.946224877783813,0.11177899210686097,16.73780487804878,0.05974499089253188,13.282258064516128,0.07528840315725562,0.075406800242866,0.5990499999999972,-0.2579500000000028,-0.0019500000000027828,0,0,0,1,0
2024-10-09,16.5,768215734,12691982456.9999,13.2855589999597,1.2419500000000037,1.841,1.841,0.984,0.5700000000000001,0.5727557774806002,0.984,TTM_EPSAct,1.24,EPSFR_LTM,8.962520369364476,0.11157575757575758,16.76829268292683,0.05963636363636363,13.306451612903226,0.07515151515151515,0.0752696969696972,0.5990499999999963,-0.2579500000000037,-0.001950000000003671,0,0,0,1,0
2024-10-10,16.765,768215734,12895823387.37,13.498933129353,1.241950000000003,1.841,1.841,0.984,0.5700000000000001,0.5727557774806002,0.984,TTM_EPSAct,1.24,EPSFR_LTM,9.106463878326997,0.10981210855949895,17.03760162601626,0.05869370712794512,13.520161290322582,0.07396361467342678,0.07407992842230857,0.599049999999997,-0.257950000000003,-0.0019500000000030049,0,0,0,1,0
2024-10-11,17.14,768215734,13184277534.1199,13.8008776520794,1.2419499999999992,1.841,1.841,0.984,0.5700000000000001,0.5727557774806002,0.984,TTM_EPSAct,1.24,EPSFR_LTM,9.31015752308528,0.10740956826137689,17.41869918699187,0.05740956826137689,13.82258064516129,0.07234539089848308,0.07245915985997661,0.5990500000000007,-0.25794999999999924,-0.0019499999999992301,0,0,0,1,0
2024-10-14,16.995,768215734,13072741930.71,13.6841257699585,1.241950000000003,1.841,1.841,0.984,0.5700000000000001,0.5727557774806002,0.984,TTM_EPSAct,1.24,EPSFR_LTM,9.231395980445411,0.10832597822889084,17.271341463414636,0.05789938217122683,13.705645161290324,0.07296263606943218,0.0730773756987351,0.599049999999997,-0.257950000000003,-0.0019500000000030049,0,0,0,1,0
2024-10-15,16.19,768215734,12453527029.02,13.0359515278393,1.2419499999999986,1.841,1.841,0.984,0.5700000000000001,0.5727557774806002,0.984,TTM_EPSAct,1.24,EPSFR_LTM,8.794133623030962,0.11371216800494131,16.453252032520325,0.06077825818406423,13.056451612903228,0.0765904879555281,0.07671093267449033,0.5990500000000014,-0.25794999999999857,-0.001949999999998564,0,0,0,1,0
2024-10-16,16.0,768215734,12307376927.9999,12.8829663029913,1.2419499999999966,1.841,1.841,0.984,0.5700000000000001,0.5727557774806002,0.984,TTM_EPSAct,1.24,EPSFR_LTM,8.690928843020098,0.1150625,16.260162601626018,0.0615,12.903225806451614,0.0775,0.07762187499999978,0.5990500000000034,-0.25794999999999657,-0.0019499999999965656,0,0,0,1,0
2024-10-17,15.955,768215734,12272762430.3899,12.8467329602641,1.24195,1.841,1.841,0.984,0.5700000000000001,0.5727557774806002,0.984,TTM_EPSAct,1.24,EPSFR_LTM,8.666485605649104,0.11538702601065497,16.214430894308943,0.06167345659667815,12.866935483870968,0.07771858351613914,0.07784080225634597,0.5990499999999999,-0.2579500000000001,-0.0019500000000001183,0,0,0,1,0
2024-10-18,15.29,768215734,11761237076.8199,12.311284673296,1.2419500000000026,1.841,1.841,0.984,0.5700000000000001,0.5727557774806002,0.984,TTM_EPSAct,1.24,EPSFR_LTM,8.30526887561108,0.12040549378678876,15.53861788617886,0.06435578809679529,12.330645161290322,0.08109875735775017,0.08122629169391776,0.5990499999999974,-0.25795000000000257,-0.0019500000000025608,0,0,0,1,0
2024-10-21,15.115,768215734,11626625141.67,12.1703772293571,1.241949999999996,1.841,1.841,0.984,0.5700000000000001,0.5727557774806002,0.984,TTM_EPSAct,1.24,EPSFR_LTM,8.21021184139055,0.12179953688389017,15.360772357723578,0.06510089315249752,12.189516129032258,0.08203771088322857,0.0821667217995366,0.5990500000000041,-0.2579499999999959,-0.0019499999999958995,0,0,0,1,0
2024-10-22,15.375,768215734,11826620016.75,12.3797254317807,1.2419499999999968,1.841,1.841,0.984,0.5700000000000001,0.5727557774806002,0.984,TTM_EPSAct,1.24,EPSFR_LTM,8.351439435089626,0.11973983739837399,15.625,0.064,12.399193548387096,0.08065040650406503,0.08077723577235751,0.5990500000000032,-0.2579499999999968,-0.0019499999999967876,0,0,0,1,0
2024-10-23,15.24,768215734,11722776523.92,12.2710254035992,1.2419499999999979,1.841,1.841,0.984,0.5700000000000001,0.5727557774806002,0.984,TTM_EPSAct,1.24,EPSFR_LTM,8.278109722976643,0.1208005249343832,15.487804878048781,0.06456692913385827,12.290322580645162,0.08136482939632546,0.08149278215223082,0.5990500000000021,-0.2579499999999979,-0.0019499999999978979,0,0,0,1,0
2024-10-24,14.39,768215734,11068947124.62,11.5866178187528,1.2419499999999968,0.984,0.984,0.984,0.5700000000000001,0.5727557774806002,0.984,TTM_EPSAct,0.57,EPSFR_LTM,14.6239837398374,0.06838082001389853,14.6239837398374,0.06838082001389853,25.245614035087723,0.03961084086170952,0.08630646282140352,-0.2579499999999968,-0.2579499999999968,-0.6719499999999968,0,0,0,1,0
2024-10-25,14.79,768215734,11376631547.8199,25.875642954617,0.5715800000000005,0.984,0.984,0.984,0.5700000000000001,0.5727557774806002,0.984,TTM_EPSAct,0.57,EPSFR_LTM,15.030487804878048,0.0665314401622718,15.030487804878048,0.0665314401622718,25.947368421052634,0.038539553752535496,0.03864638269100748,0.41241999999999945,0.41241999999999945,-0.001580000000000581,0,0,0,1,0
2024-10-28,14.94,768215734,11492013206.52,26.1380734105462,0.5715800000000001,0.984,0.984,0.984,0.5700000000000001,0.5727557774806002,0.984,TTM_EPSAct,0.57,EPSFR_LTM,15.182926829268292,0.06586345381526104,15.182926829268292,0.06586345381526104,26.210526315789476,0.038152610441767064,0.03825836680053549,0.4124199999999999,0.4124199999999999,-0.0015800000000001369,0,0,0,1,0
2024-10-29,15.115,768215734,11626625141.67,26.4442422757969,0.5715800000000003,0.984,0.984,0.984,0.5700000000000001,0.5727557774806002,0.984,TTM_EPSAct,0.57,EPSFR_LTM,15.360772357723578,0.06510089315249752,15.360772357723578,0.06510089315249752,26.517543859649127,0.03771088322858088,0.03781541515051276,0.4124199999999997,0.4124199999999997,-0.001580000000000359,0,0,0,1,0
2024-10-30,14.685,768215734,11295864386.7299,25.6919416354666,0.5715800000000001,0.984,0.984,0.984,0.5700000000000001,0.5727557774806002,0.984,TTM_EPSAct,0.57,EPSFR_LTM,14.923780487804878,0.06700715015321757,14.923780487804878,0.06700715015321757,25.763157894736846,0.038815117466802856,0.03892271024855295,0.4124199999999999,0.4124199999999999,-0.0015800000000001369,0,0,0,1,0
