Date,REF_CFP,REF_CFP_fiscal,CFP_from_CFPS_fiscal,CFP_from_CFOpToShareTtm,CFP_from_OperatingCFTtm_per_share,CFP_from_CF,CFP_from_OpCF,CFP_from_TTM_OpCFAct,CFP_from_TTM_OpCF,CFP_trial,CFP_self
2025-01-08,0.09888578263959062,,,,,0.23401437644392137,0.23167626581915587,,0.12209003740623353,0.12209003740623353,0.12209003740623353
2025-01-09,0.09966410442345203,,,,,0.23585628416878496,0.2334997704694444,,0.12305099795252422,0.12305099795252422,0.12305099795252422
2025-01-10,0.10302949118795376,,,,,0.24382051182786113,0.24138442504591467,,0.12720609674424901,0.12720609674424901,0.12720609674424901
2025-01-13,0.09970334225983866,,,,,0.23594914097357583,0.23359169951293632,,0.12309944322730869,0.12309944322730869,0.12309944322730869
2025-01-14,0.10045477562078166,,,,,0.2377274169269665,0.2353522081566276,,0.12402720579030704,0.12402720579030704,0.12402720579030704
2025-01-15,0.09695501123276773,,,,,0.22944518302943437,0.22715272464121675,,0.11970619670649466,0.11970619670649466,0.11970619670649466
2025-01-16,0.10093522891191332,,,,,0.2388644153339508,0.23647784645789485,,0.12462040087579276,0.12462040087579276,0.12462040087579276
2025-01-17,0.1000183607187956,,,,,0.23669463588976405,0.234329745956895,,0.12348838301633651,0.12348838301633651,0.12348838301633651
2025-01-20,0.09954657599842401,,,,,0.23557815175820856,0.2332244169665323,,0.12290589064361794,0.12290589064361794,0.12290589064361794
2025-01-21,0.0983863594949454,,,,,0.23283248565380055,0.2305061836685541,,0.121473421055697,0.121473421055697,0.121473421055697
2025-01-22,0.09935131005884272,,,,,0.2351160525982278,0.23276693478338886,,0.12266480415745942,0.12266480415745942,0.12266480415745942
2025-01-23,0.09762779080184639,,,,,0.2310373238523063,0.22872895788853437,,0.1205368488039183,0.1205368488039183,0.1205368488039183
2025-01-24,0.09691790636815562,,,,,0.22935737392762442,0.2270657928675309,,0.11966038492053734,0.11966038492053734,0.11966038492053734
2025-01-27,0.09732762849346292,,,,,0.23032698619249908,0.2280257174338425,,0.12016625126724215,0.12016625126724215,0.12016625126724215
2025-01-28,0.09873157479141895,,,,,0.23364944174381388,0.2313149772954613,,0.12189964358571699,0.12189964358571699,0.12189964358571699
2025-01-29,0.10166458825370957,,,,,0.24059045285944705,0.2381866386041181,,0.12552090959348217,0.12552090959348217,0.12552090959348217
2025-01-30,0.10211551989515752,,,,,0.24165758793261394,0.2392431115979267,,0.12607765556345324,0.12607765556345324,0.12607765556345324
2025-01-31,0.10349263969758499,,,,,0.24491655826435743,0.2424695205406041,,0.1277779263577295,0.1277779263577295,0.1277779263577295
2025-02-03,0.10663010077473281,,,,,0.252341397083319,0.24982017547909818,,0.13165161507257434,0.13165161507257434,0.13165161507257434
2025-02-04,0.10631674615448806,,,,,0.2515998396611598,0.24908602718843753,,0.13126472955388918,0.13126472955388918,0.13126472955388918
2025-02-05,0.10776446354893214,,,,,0.2550258800310139,0.2524778369203652,,0.13305216416909108,0.13305216416909108,0.13305216416909108
2025-02-06,0.1080403111518731,,,,,0.25567867665225363,0.25312411124695317,,0.133392741381128,0.133392741381128,0.133392741381128
2025-02-07,0.10827126521590014,,,,,0.2562252321816514,0.25366520596958453,,0.13367789046488415,0.13367789046488415,0.13367789046488415
2025-02-10,0.10671997022334194,,,,,0.25255407419843345,0.25003072767082096,,0.13176257302880912,0.13176257302880912,0.13176257302880912
2025-02-11,0.10958307630462587,,,,,0.25932964866849095,0.2567386052630282,,0.13529752738959933,0.13529752738959933,0.13529752738959933
2025-02-12,0.11107302164034669,,,,,0.26285562196179063,0.26022934945739395,,0.1371370990339316,0.1371370990339316,0.1371370990339316
2025-02-13,0.12414043595097575,,,,,0.11294315130800608,0.1509737265507019,,0.15327087539086473,0.15327087539086473,0.15327087539086473
2025-02-14,0.12093910665711106,,,,,0.11003057720550734,0.14708042128148607,,0.14931833132634387,0.14931833132634387,0.14931833132634387
2025-02-17,0.13116143015329942,,,,,0.11933086216507789,0.1595123276172736,,0.16193939600029214,0.16193939600029214,0.16193939600029214
2025-02-18,0.13148831222221724,,,,,0.11962825995240517,0.15990986612846927,,0.16234298328004362,0.16234298328004362,0.16234298328004362
2025-02-19,0.13902420363416257,,,,,0.12648442504849164,0.16907466082753175,,0.17164722540478922,0.17164722540478922,0.17164722540478922
2025-02-20,0.14116303753622664,,,,,0.12843033928000688,0.17167580945564762,,0.17428795194947827,0.17428795194947827,0.17428795194947827
2025-02-21,0.14151010803530983,,,,,0.1287461045308071,0.17209790018072857,,0.1747164650186433,0.1747164650186433,0.1747164650186433
2025-02-24,0.14135213738557184,,,,,0.12860238260121254,0.17190578374828747,,0.17452142542831214,0.17452142542831214,0.17452142542831214
2025-02-25,0.137633961597821,,,,,0.12521958079800674,0.16738391421925644,,0.16993075315074135,0.16993075315074135,0.16993075315074135
2025-02-26,0.13686040279938952,,,,,0.12451579586485753,0.16644314859675305,,0.16897567325841117,0.16897567325841117,0.16897567325841117
