Instrument,Date,Price,MktCap,REF_PE,EPSAct_LTM,REF_PCF,OpCF,OpCFPS,CALC_PE,CALC_EP,CALC_PCF_MktCap_div_OpCF,CALC_PCF_Price_div_OpCFPS,CALC_CFP_OpCF_div_MktCap
ALEP.WA,2024-10-10,8.01312847875859,8480332318.41735,128.468596150977,0.165725106118334,9.44030880576946,760515658.792014,,48.271858305774636,0.020681698360090248,11.150766220760424,,0.08967993590774116
ALEP.WA,2024-10-11,8.33085768406551,8779837386.34094,133.205281217365,0.165725106118334,9.78837651322561,760515658.792014,,50.18588966304524,0.019892922482077392,11.544584631283776,,0.08662069982926691
ALEP.WA,2024-10-14,8.15638477669607,8651971572.74372,130.557213188125,0.165725106118334,9.59378747992335,760515658.792014,,49.13484805238596,0.020318451207921646,11.376454215928067,,0.08790085038973824
ALEP.WA,2024-10-15,8.10361621827411,8577595931.2923,129.680739967179,0.165725106118334,9.52938125059091,760515658.792014,,48.816965170325965,0.020450759470150445,11.278657884463236,,0.08866303156313808
ALEP.WA,2024-10-16,8.20775137786317,8708718890.09462,131.508279874683,0.165725106118334,9.66367509047557,760515658.792014,,49.444285408814274,0.02019129216868157,11.451071111313281,,0.08732807527603535
ALEP.WA,2024-10-17,8.09208229997233,8596454715.39144,129.960465463225,0.165725106118334,9.54993643016509,760515658.792014,,48.74748373477306,0.02047990862857397,11.303455249094878,,0.08846852382417092
ALEP.WA,2024-10-18,8.13725242522231,8562877925.28523,130.538564821722,0.165725106118334,9.5924171346184,760515658.792014,,49.01959292302597,0.020366224059198502,11.259305217839055,,0.08881542694265156
ALEP.WA,2024-10-21,8.03732665330661,8566794832.19073,129.419662837535,0.165725106118334,9.51019641632167,760515658.792014,,48.417630441606086,0.020619431468565926,11.264455548223733,,0.08877481878453396
ALEP.WA,2024-10-22,7.98167618095476,8454891040.88003,128.599134715799,0.165725106118334,9.44990122290407,760515658.792014,,48.08238663225759,0.020763195895340134,11.117313553161534,,0.08994978824858463
ALEP.WA,2024-10-23,7.89410316494973,8400661905.75056,127.871848426078,0.165725106118334,9.39645775601119,760515658.792014,,47.55483834307066,0.02099353183705059,11.046007808825374,,0.09053044478214428
ALEP.WA,2024-10-24,7.93104725233645,8349070088.27018,128.505892883783,0.165725106118334,9.44304949637934,760515658.792014,,47.77739308636416,0.02089574060594736,10.978169866392568,,0.0910898639910188
ALEP.WA,2024-10-25,8.01882332612317,8495410243.13959,129.829926898404,0.165725106118334,9.54034401303048,760515658.792014,,48.30616461519982,0.020667010529892355,11.170592143537858,,0.08952076910072274
ALEP.WA,2024-10-28,8.05281225901142,8506400996.71552,130.538564821722,0.165725106118334,9.5924171346184,760515658.792014,,48.51091722296036,0.02057978017963612,11.185043855937032,,0.08940510317884888
ALEP.WA,2024-10-29,8.1934830235749,8635173910.82059,132.515291660451,0.165725106118334,9.73767373694263,760515658.792014,,49.35833146731868,0.020226453834284803,11.354367015317614,,0.08807184043381278
ALEP.WA,2024-10-30,8.2358959315523,8705426988.90212,133.671490377443,0.165725106118334,9.82263514584925,760515658.792014,,49.61383091296566,0.020122292400931076,11.446742599264327,,0.08736109782570538
ALEP.WA,2024-10-31,8.06920464092818,8507746133.39135,130.986125615396,0.165725106118334,9.62530542193709,760515658.792014,,48.60966651161554,0.020537972884929964,11.186812572544348,,0.08939096758037113
ALEP.WA,2024-11-04,8.0914849484124,8506241784.11016,131.396389676264,0.165725106118334,9.65545301864589,760515658.792014,,48.7438852314,0.02048142055196559,11.18483450770926,,0.08940677658759634
ALEP.WA,2024-11-05,7.92705953726732,8331682662.39934,128.636431448605,0.165725106118334,9.45264191351396,760515658.792014,,47.753370706429635,0.020906252228738032,10.955307186749051,,0.09127995983622861
ALEP.WA,2024-11-06,7.99387632552404,8606463410.57169,129.699388333582,0.165725106118334,9.53075159589586,760515658.792014,,48.155881479060476,0.020731507390123385,11.316615655543506,,0.08836564132229272
