Instrument,Date,REF_PE,PE_trial,REF_PCF,PCF_MktCap_div_OpCF,PCF_Price_div_CFPS_Act,PCF_Price_div_OpCFPS
RBREW.CO,2024-09-05,24.4739280056482,24.579608972069295,15.0995275590552,15.082411245994226,15.03470695466528,14.946775722610365
RBREW.CO,2024-09-06,24.6874875868493,24.80049803733268,15.2312860892389,15.217952040228617,15.16981904572819,15.081097603882789
RBREW.CO,2024-09-09,24.7729114193298,24.87935733106514,15.2839895013124,15.26634126806347,15.218055222848283,15.12905166931979
RBREW.CO,2024-09-10,24.6874875868493,24.79311602001658,15.2312860892389,15.213422325329075,15.165303657903756,15.076608624528824
RBREW.CO,2024-09-11,24.6661316287292,24.772123211649976,15.2181102362205,15.200540827932052,15.152462903508273,15.063842969924636
RBREW.CO,2024-09-12,24.9651150424108,25.070164014735052,15.4025721784777,15.383423068464117,15.334766704191559,15.245080557754509
RBREW.CO,2024-09-13,24.8796912099303,24.982643423244678,15.3498687664042,15.32971914034834,15.281232636702851,15.191859586924446
RBREW.CO,2024-09-16,24.8583352518102,24.9653772317032,15.3366929133859,15.319124350098559,15.27067135680844,15.181360075201239
RBREW.CO,2024-09-17,24.81562333557,24.9231859289739,15.3103412073491,15.29323514333817,15.24486403524806,15.1557036890457
RBREW.CO,2024-09-18,24.4952839637683,24.607842905143958,15.1127034120735,15.09973600450474,15.05197691654456,14.963944680257892
RBREW.CO,2024-09-19,24.3244362988074,24.437280551908685,15.0072965879265,14.995076424382715,14.947648365130075,14.86022629956985
RBREW.CO,2024-09-20,23.9400290526454,24.05614215890506,14.7701312335958,14.761204274852226,14.714515931880502,14.628457352961513
RBREW.CO,2024-09-23,23.7905373458046,23.903257968943826,14.6779002624672,14.66739227692229,14.621000652744836,14.535489002591081
RBREW.CO,2024-09-24,23.7478254295644,23.86260401807341,14.6515485564305,14.64244641197794,14.59613368929637,14.510767474816225
RBREW.CO,2024-09-25,23.5129098902432,23.630376876272933,14.5066141732284,14.499948406452427,14.454086391967223,14.369550948176652
RBREW.CO,2024-09-26,24.0681648013661,24.18951727967772,14.8491863517061,14.843045219668017,14.796098021251355,14.70956230542151
RBREW.CO,2024-09-27,24.3457922569276,24.469014257923874,15.0204724409449,15.014548695281134,14.967059047011386,14.879523457111912
RBREW.CO,2024-09-30,24.0254528851259,24.153441216265378,14.8228346456693,14.820908414109434,14.774031232389955,14.687624575273254
RBREW.CO,2024-10-01,23.4488420158829,23.55922749166938,14.4670866141733,14.456290092778323,14.410566165557814,14.326285251977842
RBREW.CO,2024-10-02,23.5769777646035,23.68629757655668,14.5461417322835,14.5342621744136,14.488291628609563,14.403556133789746
RBREW.CO,2024-10-03,23.7051135133242,23.812481904054604,14.6251968503937,14.611690742227085,14.565475296924166,14.480288389577991
RBREW.CO,2024-10-04,24.0040969270058,24.129382639511274,14.8096587926509,14.80614571593097,14.759315227279567,14.672994637451321
RBREW.CO,2024-10-07,24.3030803406873,24.429540495042243,14.9941207349082,14.99032701112483,14.942913973833141,14.855519597596096
RBREW.CO,2024-10-08,24.0040969270058,24.12064279638986,14.8096587926509,14.800782819054449,14.753969292756787,14.66767996889272
RBREW.CO,2024-10-09,24.3244362988074,24.437259670714795,15.0072965879265,14.995063611373627,14.947635592647348,14.860213601787626
RBREW.CO,2024-10-10,23.0217228534806,23.127355368773696,14.2035695538058,14.191286976960034,14.146401230427882,14.063665298621197
RBREW.CO,2024-10-11,23.277994350922,23.38448244983425,14.3616797900263,14.349063953129338,14.303679172410066,14.220023392730372
RBREW.CO,2024-10-14,23.1925705184415,23.2930597895838,14.3089763779528,14.292965657966597,14.247758311039028,14.164429587300814
RBREW.CO,2024-10-15,23.5342658483633,23.639469200265328,14.5197900262468,14.505527590799575,14.459647929863042,14.37507995914123
RBREW.CO,2024-10-16,23.3634181834024,23.471790574356866,14.4143832020998,14.40263750837441,14.357083279385511,14.273115163127706
RBREW.CO,2024-10-17,24.0040969270058,24.119010175495937,14.8096587926509,14.799781018750851,14.752970661056175,14.66668717773932
