Instrument,Date,SourceDate,LookbackDays,REF_PE,PE_trial,REF_PCF,PCF_MktCap_div_OpCF,PCF_Price_div_CFPS_Act,PCF_Price_div_OpCFPS
AIRP.PA,2022-04-30,2022-04-29,1,30.4894694932951,30.33763577605442,14.1090060023013,14.723233939085478,,14.691000461433582
AIRP.PA,2022-05-31,2022-05-31,0,30.0284577977995,29.878919860661217,13.8965677318757,14.501547283584664,,14.468867274310687
AIRP.PA,2022-06-30,2022-06-30,0,25.988517508981,25.859097965644864,12.0600814130576,12.585110527268963,,12.522268477011576
AIRP.PA,2022-07-31,2022-07-29,2,26.5873117978508,26.486872472199355,12.5119716728955,13.020159052108555,,12.976524667596532
AIRP.PA,2022-08-31,2022-08-31,0,24.8190533633382,24.725294016696683,11.6555307056144,12.128932800622016,,12.113487089047762
AIRP.PA,2022-09-30,2022-09-30,0,23.3045360494732,23.216498119831165,10.9447518642496,11.389284901203284,,11.374293467958903
AIRP.PA,2022-10-31,2022-10-31,0,26.2265236419301,26.12744727163715,12.3184030568206,12.818728435521493,,12.800434040583218
AIRP.PA,2022-11-30,2022-11-30,0,27.400076324925,27.29656660533399,12.8698962960969,13.392621174352993,,13.373212343835316
AIRP.PA,2022-12-31,2022-12-30,1,26.2463471669807,26.14719590903068,12.3285245015299,12.829260973749491,,12.810109349759774
AIRP.PA,2023-01-31,2023-01-31,0,28.9542406888912,28.844859776986564,13.6012144350424,14.153642597330519,,14.131756583277285
AIRP.PA,2023-02-28,2023-02-28,0,29.8462993161677,28.515154366666664,14.0205477862378,14.18967686003383,,14.170791084942662
AIRP.PA,2023-03-31,2023-03-31,0,29.230307583558,29.204548375,13.8941428431869,14.534291046991449,,14.513389912979267
AIRP.PA,2023-04-30,2023-04-28,2,30.932565444131,30.905306120833334,14.7056872605532,15.38322594658815,,15.35859251621243
AIRP.PA,2023-05-31,2023-05-31,0,29.6928364454509,29.66666963333333,14.1175655946714,14.768007608944565,,14.743044072432376
AIRP.PA,2023-06-30,2023-06-30,0,31.1259176732829,31.098487958333337,14.7994436139481,15.481301959130027,,15.454595484508404
AIRP.PA,2023-07-31,2023-07-31,0,26.9068944028032,26.868436996926153,13.103455562429,13.649911950173083,,13.627013452630418
AIRP.PA,2023-08-31,2023-08-31,0,27.4833765918936,27.444095233270676,13.3844546815989,13.942629639523938,,13.91897321685793
AIRP.PA,2023-09-30,2023-09-29,1,26.3271180297751,26.289489284945372,12.8228020068918,13.357554235573762,,13.333385346893033
AIRP.PA,2023-10-31,2023-10-31,0,26.6301829520398,26.59212104348078,12.9686108887725,13.509443818420255,,13.486872765801213
AIRP.PA,2023-11-30,2023-11-30,0,28.6264584182615,28.585543279050963,13.9408315724941,14.522209242449867,,14.497887720783341
AIRP.PA,2023-12-31,2023-12-29,2,29.00858375503,28.967122452856472,14.1273002803767,14.716454297270161,,14.691415335928433
AIRP.PA,2024-01-31,2024-01-31,0,28.6066933146355,28.565806425233436,13.9517687423294,14.533602527566567,,14.487877671724112
AIRP.PA,2024-02-29,2024-02-29,0,30.9488580943115,31.84743922038019,15.0945011026112,16.385081950641577,,16.36975782666168
AIRP.PA,2024-03-31,2024-03-28,3,32.8307121516015,32.68472687204957,16.1538541272617,16.81932244963426,,16.800128255952306
AIRP.PA,2024-04-30,2024-04-30,0,31.3052859906476,31.166083681977163,15.4070964229475,16.041801585470125,,16.019537355862422
AIRP.PA,2024-05-31,2024-05-31,0,30.7230362729621,30.586423000052203,15.1031694543158,15.725354151545968,,15.72158859712276
AIRP.PA,2024-06-30,2024-06-28,2,30.2034349665436,30.06913215652057,14.8868720647357,15.50014625306555,,15.455698276209816
AIRP.PA,2024-07-31,2024-07-31,0,32.0894046786116,31.94388716869431,15.8724525508255,16.51701233262232,,16.49362055828927
AIRP.PA,2024-08-31,2024-08-30,1,32.0779971405105,31.932531360955704,15.8669821796438,16.511319816737693,,16.48775720224295
AIRP.PA,2024-09-30,2024-09-30,0,32.9411675234995,32.791787479843435,16.2953280195754,16.957060227561108,,16.93141780974759
AIRP.PA,2024-10-31,2024-10-31,0,31.3060870623308,31.164121703976804,15.4879065557674,16.11685042175838,,16.091003443108846
AIRP.PA,2024-11-30,2024-11-29,1,29.902959875886,29.767357352128457,14.7942924602456,15.39506955436387,,15.369810649411875
AIRP.PA,2024-12-31,2024-12-31,0,29.8345146472789,29.699222505696827,14.7604807368654,15.359884780601261,,15.334630513133972
AIRP.PA,2025-01-31,2025-01-31,0,32.0551820643081,31.909819745478494,15.8592129714193,16.503235111009463,,16.47603049015032
AIRP.PA,2025-02-28,2025-02-28,0,33.5799896571655,30.770034843205575,16.6137508333404,16.808425069196552,,16.78053088929105
AIRP.PA,2025-03-31,2025-03-31,0,30.5882394035346,30.512195121951216,16.0202711583183,16.668590806431546,,16.639917223136873
AIRP.PA,2025-04-30,2025-04-30,0,31.5348435919961,31.45644599303136,16.5192252574737,17.187736932475357,,17.154867270809603
AIRP.PA,2025-05-31,2025-05-30,1,31.8561999954591,31.777003484320556,16.6883839711493,17.36374128045011,,17.329684261163443
AIRP.PA,2025-06-30,2025-06-30,0,30.5882394035346,30.512195121951216,16.0249039384835,16.673411069216463,,16.639917223136873
AIRP.PA,2025-07-31,2025-07-31,0,29.078621659871,29.09090909090909,15.4877410341173,16.0427832548107,,15.998875387688907
AIRP.PA,2025-08-31,2025-08-29,2,29.6541360468893,29.666666666666664,15.7943136370085,16.360342659323692,,16.31551979640358
AIRP.PA,2025-09-30,2025-09-30,0,29.7618346456296,29.774410774410775,15.8522845444269,16.42039110026481,,16.37477489043206
